,full_name,position,status,player_id,adp_ppr
,Brandon Mebane,NT,Active,6,999
,Ryan Kalil,C,Active,12,999
,Sam Koch,P,Active,13,999
,Matt Prater,K,Active,17,999,95
,Joe Flacco,QB,Active,19,999,12.62
,Matt Ryan,QB,Active,24,671.9,9.92
,Robbie Gould,K,Active,49,677,24
,Mason Crosby,K,Active,59,570.6,6
,Zak DeOssie,LS,Active,77,999
,Chad Henne,QB,Active,89,999,13
,Dominique Rodgers-Cromartie,CB,Active,95,558
,Aaron Rodgers,QB,Active,96,98.4,285.22
,Brandon Carr,CB,Active,105,999
,Marcedes Lewis,TE,Active,111,999
,Andy Lee,P,Active,112,999
,Calais Campbell,DE,Active,125,999,6.5
,Matt Bryant,K,Active,127,999
,Duane Brown,T,Active,131,999
,Ben Roethlisberger,QB,Active,138,999
,DeSean Jackson,WR,Active,147,999
,Tom Brady,QB,Active,167,999
,Drew Stanton,QB,Active,181,999
,Adrian Peterson,RB,Active,184,999
,Eli Manning,QB,Active,188
,Jon Condo,LS,Active,199,999
,Andrew Whitworth,OL,Active,202,999
,Josh McCown,QB,Active,208,999
,Wesley Woodyard,LB,Active,210,999
,Frank Gore,RB,Active,232,999
,Don Muhlbach,LS,Active,252,999
,Josh Johnson,QB,Active,260,999,10.28
,Orlando Scandrick,CB,Active,266,999
,Delanie Walker,TE,Active,284,431.6
,Terrell Suggs,LB,Active,296,999
,Matthew Slater,WR,Active,312,999
,Dustin Colquitt,P,Active,330,999
,Ryan Fitzpatrick,QB,Active,333,999
,Cameron Wake,DE,Active,342,999
,Brian Hoyer,QB,Active,345,999,11.68
,Kevin Huber,P,Active,353,999
,Andre Smith,T,Active,358,999
,Alex Mack,C,Active,359,999
,Jared Cook,TE,Active,367,999
,Jason McCourty,DB,Active,368,999
,Britton Colquitt,P,Active,385,999
,Ryan Succop,K,Active,391,389.3,27
,Jason Peters,OL,Active,412,999
,Matthew Stafford,QB,Active,421,210,253.56
,Clay Matthews,LB,Active,425,999
,JJ Jansen,LS,Active,439,999
,Malcolm Jenkins,SS,Active,444,999
,Thomas Morstead,P,Active,445,999
,Michael Crabtree,WR,Active,455,999
,Sean Smith,CB,Active,467,999
,Garrison Sanborn,LS,Active,471,999
,Chase Daniel,QB,Active,490,301.6
,Danny Amendola,WR,Active,491,540.4
,Brett Kern,P,Active,497,999
,Graham Gano,K,Active,503,175.4,95
,John Jerry,G,Active,509,999
