,pts_ppr,rank_ppr,pos_rank_ppr,full_name
,0,1097,9,Brandon Mebane
,0,3254,61,Matt Prater
,0,5239,245,Joe Flacco
,0,2627,234,Jason Witten
,0,4625,205,Matt Ryan
,0,4230,88,Robbie Gould
,0,4162,83,Mason Crosby
,0,209,4,Mike Adams
,0,2671,31,Antoine Bethea
,0,5068,232,Chad Henne
,0,2798,283,Dominique Rodgers-Cromartie
,0,4216,180,Aaron Rodgers
,0,3781,408,Brandon Carr
,0,619,14,Stephen Gostkowski
,0,2082,173,Marcedes Lewis
,0,1547,36,Adam Vinatieri
,0,243,20,Calais Campbell
,0,3076,58,Matt Bryant
,0,914,37,Ben Roethlisberger
,0,558,55,Tramon Williams
,0,2612,447,DeSean Jackson
,0,1917,145,Wes Horton
,0,4229,182,Tom Brady
,0,2236,227,Johnathan Joseph
,0,1852,72,Matt Schaub
,0,742,75,Aqib Talib
,0,845,35,Drew Stanton
,0,2537,220,Adrian Peterson
,0,2598,348,Thomas Davis
,0,4243,351,Vernon Davis
,0,2004,82,Josh McCown
,0,690,89,Wesley Woodyard
,0,1577,283,Larry Fitzgerald
,0,3736,326,Frank Gore
,0,1311,49,Matt Moore
,0,2669,199,Domata Peko
,0,1856,161,Darren Sproles
,0,4533,197,Josh Johnson
,0,634,61,Orlando Scandrick
,0,2020,83,Alex Smith
,0,1747,138,Delanie Walker
,0,508,15,Drew Brees
,0,3430,40,Eric Weddle
,0,4433,586,Terrell Suggs
,0,678,124,Matthew Slater
,0,1576,64,Philip Rivers
,0,725,27,Ryan Fitzpatrick
,0,5129,384,Cameron Wake
,0,2378,35,Patrick Chung
,0,2916,495,Julian Edelman
,0,4849,219,Brian Hoyer
,0,4770,405,Jared Cook
,0,266,28,Jason McCourty
,0,1435,33,Ryan Succop
,0,5110,234,Matthew Stafford
,0,3924,519,Clay Matthews
,0,922,15,Malcolm Jenkins
,0,2704,463,Michael Crabtree
,0,5104,527,Sean Smith
,0,3217,134,Chase Daniel
,0,1489,266,Danny Amendola
,0,3947,301,Michael Bennett
,0,776,20,Graham Gano
,0,4701,400,Rob Gronkowski
,0,4335,34,Kyle Love
,0,3154,345,Devin McCourty
,0,3632,280,Geno Atkins
,0,3092,61,Carlos Dunlap
,0,4093,439,Joe Haden
,0,2919,128,Colt McCoy
,0,2631,453,Antonio Brown
,0,1622,290,Emmanuel Sanders
,0,3767,393,Kareem Jackson
,0,1202,129,Sherrick McManis
,0,3336,254,Earl Mitchell
,0,4810,363,Jerry Hughes
,0,2046,151,Tyson Alualu
,0,2202,186,Tim Tebow
,0,2599,442,Dez Bryant
,0,553,66,Sean Lee
,0,331,27,Linval Joseph
,0,2354,28,Kurt Coleman
,0,203,17,Brandon Graham
,0,276,19,Logan Paulsen
,0,102,10,Ndamukong Suh
,0,324,3,Morgan Burnett
,0,3816,293,Everson Griffen
,0,2725,111,Joe Webb
,0,2739,205,Corey Peters
,0,3159,276,Jimmy Graham
,0,1423,153,Patrick Robinson
,0,4666,344,Gerald McCoy
,0,57,2,Darian Stewart
,0,1794,322,Andre Roberts
,0,115,14,Tramaine Brock
,0,4119,722,Golden Tate
,0,4269,43,Earl Thomas
,0,1212,31,Nick Folk
,0,3991,77,Mike Nugent
,0,3,1,Benjamin Watson
,0,95,9,Steve McLendon
,0,1383,128,LeSean McCoy
,0,4518,604,Lorenzo Alexander
,0,3890,512,Dekoda Watson
,0,3385,576,Ted Ginn
,0,4914,52,Reshad Jones
,0,4615,614,Jason Pierre-Paul
,0,3690,319,Marshawn Lynch
,0,3447,264,Al Woods
,0,1493,118,Clinton McDonald
,0,4978,511,Andrew Sendejo
,0,4160,82,Stephen Hauschka
,0,1273,137,Marcus Sherels
,0,5145,448,Dion Lewis
,0,327,28,Marcell Dareus
,0,5228,449,Charles Clay
,0,4341,362,Lee Smith
,0,901,116,Nick Bellore
,0,2619,226,Bilal Powell
,0,4144,552,Josh Bynes
,0,3164,412,Pernell McPhee
,0,768,79,Jimmy Smith
,0,4195,179,Tyrod Taylor
,0,4984,224,Andy Dalton
,0,4058,708,A.J. Green
,0,408,34,Jabaal Sheard
,0,3316,358,Buster Skrine
,0,3382,259,Cameron Heyward
,0,2194,158,Jurrell Casey
,0,849,107,Brooks Reed
,0,464,40,J.J. Watt
,0,427,11,Blaine Gabbert
,0,1950,160,Virgil Green
,0,1050,112,Chris Harris
,0,3342,437,Von Miller
,0,395,32,Allen Bailey
,0,3181,63,Justin Houston
,0,939,89,Taiwan Jones
,0,4636,481,Marcus Gilchrist
,0,1953,129,Corey Liuget
,0,449,7,Dan Bailey
,0,574,102,Dwayne Harris
,0,1085,111,Prince Amukamara
,0,4951,373,Ryan Kerrigan
,0,513,49,Mario Addison
,0,4152,730,Randall Cobb
,0,3906,331,Kyle Rudolph
,0,1208,216,Julio Jones
,0,3298,250,Terrell McClain
,0,3259,136,Cam Newton
,0,4408,384,Mark Ingram
,0,771,68,Cameron Jordan
,0,4191,326,Adrian Clayborn
,0,3763,319,Luke Stocker
,0,2710,243,Lance Kendricks
,0,1871,252,Robert Quinn
,0,2416,323,Sam Acho
,0,1384,147,Patrick Peterson
,0,2522,218,Anthony Sherman
,0,711,12,Colin Jones
,0,2732,39,Bruce Miller
,0,150,13,Aldon Smith
,0,363,41,Richard Sherman
,0,4272,569,Malcolm Smith
,0,801,101,K.J. Wright
,0,3010,394,Albert McClellan
,0,5005,373,Fletcher Cox
,0,143,12,Vinny Curry
,0,1996,80,Nick Foles
,0,3221,420,Mychal Kendricks
,0,4933,423,Brandon Bolden
,0,3511,378,Nate Ebner
,0,4296,573,Dont'a Hightower
,0,3638,476,Chandler Jones
,0,2698,293,Tavon Wilson
,0,804,102,Nigel Bradham
,0,2723,279,Stephon Gilmore
,0,1181,110,Lamar Miller
,0,4455,191,Ryan Tannehill
,0,4580,608,Demario Davis
,0,2607,192,Damon Harrison
,0,1701,227,Vontaze Burfict
,0,1402,166,George Iloka
,0,1392,246,Marvin Jones
,0,3273,347,Dre Kirkpatrick
,0,4640,826,Mohamed Sanu
,0,3332,354,Johnson Bademosi
,0,15,5,Travis Benjamin
,0,2556,343,L.J. Fort
,0,1583,190,Tashaun Gipson
,0,1029,68,Billy Winn
,0,5006,664,Zach Brown
,0,61,8,Coty Sensabaugh
,0,4040,79,Randy Bullock
,0,190,21,Whitney Mercilus
,0,2366,410,T.Y. Hilton
,0,3606,471,Brandon Marshall
,0,3457,450,Julian Stanford
,0,2438,179,Malik Jackson
,0,670,86,Danny Trevathan
,0,3782,290,Derek Wolfe
,0,1228,79,Dontari Poe
,0,4869,360,Jack Crawford
,0,3989,525,Melvin Ingram
,0,2586,437,Cole Beasley
,0,4114,443,Morris Claiborne
,0,3399,263,Tyrone Crawford
,0,5293,704,Kyle Wilber
,0,4683,835,Alshon Jeffery
,0,1911,259,Tahir Whitehead
,0,4500,193,Kirk Cousins
,0,4987,225,Robert Griffin
,0,3086,266,Alfred Morris
,0,744,51,Mike Daniels
,0,3275,348,Casey Hayward
,0,2347,316,Luke Kuechly
,0,3580,382,Josh Norman
,0,2992,226,Akiem Hicks
,0,2958,389,Lavonte David
,0,4886,651,Najee Goode
,0,800,70,Michael Brockers
,0,444,47,Janoris Jenkins
,0,2303,232,Trumaine Johnson
,0,1625,194,Rodney McLeod
,0,4376,368,Rhett Ellison
,0,347,40,Harrison Smith
,0,265,57,Jarius Wright
,0,3505,375,Justin Bethel
,0,732,59,Garrett Celek
,0,712,67,Robert Turbin
,0,3664,482,Bobby Wagner
,0,2401,96,Russell Wilson
,0,4861,649,Bruce Irvin
,0,3398,579,Josh Gordon
,0,3391,359,Josh Robinson
,0,3207,416,Mark Barron
,0,3194,240,Olivier Vernon
,0,500,14,Alex Tanney
,0,2526,53,Justin Tucker
,0,4974,106,Greg Zuerlein
,0,4441,588,Craig Robertson
,0,2947,501,Francis Owusu
,0,51,6,Neiko Thorpe
,0,1909,42,Kai Forbath
,0,4789,356,Lawrence Guy
,0,871,159,Jermaine Kearse
,0,195,16,Anthony Levine
,0,2658,38,James Develin
,0,4490,55,Patrick DiMarco
,0,1086,18,Jamize Olawale
,0,378,78,Josh Bellamy
,0,1826,328,Chris Hogan
,0,3753,643,Russell Shepard
,0,433,37,Damion Square
,0,2393,94,Matt Barkley
,0,4443,376,Zach Ertz
,0,1992,225,Jordan Poyer
,0,3365,440,Kiko Alonso
,0,4244,745,Marquise Goodwin
,0,4716,95,Dustin Hopkins
,0,2356,406,Robert Woods
,0,1552,122,Dion Jordan
,0,4880,507,Jamar Taylor
,0,4503,600,Jamie Collins
,0,4348,454,Duron Harmon
,0,3251,353,Logan Ryan
,0,2935,222,Sheldon Richardson
,0,4755,215,Geno Smith
,0,1049,17,Kyle Juszczyk
,0,4425,585,John Simon
,0,4275,317,Brandon Williams
,0,2025,172,Giovani Bernard
,0,5258,458,Rex Burkhead
,0,2917,258,Tyler Eifert
,0,2539,190,Margus Hunt
,0,2829,308,Shawn Williams
,0,4063,537,Barkevious Mingo
,0,5341,467,Le'Veon Bell
,0,4947,372,Nick Williams
,0,2691,355,Vince Williams
,0,2532,257,Blidi Wreh-Wilson
,0,715,58,Ryan Griffin
,0,557,100,DeAndre Hopkins
,0,480,58,D.J. Swearinger
,0,511,9,Brandon McManus
,0,1427,169,Chris Banjo
,0,4181,49,Johnathan Cyprien
,0,3009,258,C.J. Anderson
,0,1855,142,Lerentee McCray
,0,681,65,Kayvon Webster
,0,4390,327,Sylvester Williams
,0,604,50,Travis Kelce
,0,1867,189,D.J. Hayden
,0,4059,303,Stacy McGee
,0,2382,206,Latavius Murray
,0,2544,433,Keenan Allen
,0,242,28,Manti Te'o
,0,2559,262,B.W. Webb
,0,2514,186,Johnathan Hankins
,0,137,11,Damontre Moore
,0,3434,296,Jordan Reed
,0,4041,357,Chris Thompson
,0,4298,574,Jon Bostic
,0,43,3,Ezekiel Ansah
,0,5196,453,Theo Riddick
,0,1997,204,Darius Slay
,0,308,30,Micah Hyde
,0,2106,150,Datone Jones
